epoch,MJD,mean_rv,mean_rv_er,comp
synth_spectra/synthetic_SB2_01,58064.91193631773,47.29256280407708,5.297144935382651,1
synth_spectra/synthetic_SB2_02,58070.03966321,-14.63030798377852,8.400901905775699,1
synth_spectra/synthetic_SB2_03,58177.06613245756,-3.2455833988678937,7.0061729526498695,1
synth_spectra/synthetic_SB2_04,58228.926794351915,-23.644137096470786,12.542193194484454,1
synth_spectra/synthetic_SB2_05,58416.99220426279,-1.1212081075391827,5.736148156157424,1
synth_spectra/synthetic_SB2_06,58583.0296027732,37.403054272054746,6.575622638617479,1
synth_spectra/synthetic_SB2_07,58637.981639923084,-15.780583461847664,6.927863411023292,1
synth_spectra/synthetic_SB2_08,58666.13039641224,47.41144980265401,5.194616790844195,1
synth_spectra/synthetic_SB2_09,58699.07521445375,-0.14279844927410493,5.43176755278852,1
synth_spectra/synthetic_SB2_10,58901.229114957554,-38.40945340667732,9.5322278608496,1
synth_spectra/synthetic_SB2_11,58920.969085524346,8.066188545745254,6.573379882310803,1
synth_spectra/synthetic_SB2_12,58943.0848904566,42.680016853008354,6.720164253957404,1
synth_spectra/synthetic_SB2_01,58064.91193631773,-34.66619116638371,10.068803577714005,2
synth_spectra/synthetic_SB2_02,58070.03966321,-2.1452099671609597,16.93980948814095,2
synth_spectra/synthetic_SB2_03,58177.06613245756,-0.7022313507349869,13.701863998338741,2
synth_spectra/synthetic_SB2_04,58228.926794351915,5.212880295570722,24.695134693001823,2
synth_spectra/synthetic_SB2_05,58416.99220426279,3.650558735630943,11.588347475569972,2
synth_spectra/synthetic_SB2_06,58583.0296027732,-24.337900629079616,12.424902249094151,2
synth_spectra/synthetic_SB2_07,58637.981639923084,5.8109963386067855,14.203872811548099,2
synth_spectra/synthetic_SB2_08,58666.13039641224,-27.99041097567475,9.947867650846035,2
synth_spectra/synthetic_SB2_09,58699.07521445375,1.6777150941693901,10.891951594629543,2
synth_spectra/synthetic_SB2_10,58901.229114957554,24.917886628258465,18.401728989609413,2
synth_spectra/synthetic_SB2_11,58920.969085524346,2.0537233385982168,13.224604306457838,2
synth_spectra/synthetic_SB2_12,58943.0848904566,-30.023488779994615,13.687769650509477,2
