epoch,line,cen1,cen1_er,amp1,amp1_er,wid1,wid1_er,chisqr,MJD
synth_spectra/SB1/synthetic_SB1_01,4026,4026.2097759378657,0.011459649241409638,0.23831726699962458,0.0018026817901534902,2.8976324254309116,0.029574593358663387,422.3866016307369,58064.91193631773
synth_spectra/SB1/synthetic_SB1_02,4026,4026.723411272167,0.012274941695999486,0.22380972298498175,0.0017349342973248445,3.036046597096406,0.03155835225413828,397.89615621620703,58070.03966321
synth_spectra/SB1/synthetic_SB1_03,4026,4025.8508140807457,0.011864345004645381,0.22732719883543645,0.0017043018093011696,3.0402857448647707,0.03060248704884514,385.79441014001,58177.06613245756
synth_spectra/SB1/synthetic_SB1_04,4026,4026.772675749209,0.012653630045333373,0.22048603654467486,0.0017527390967779111,3.0626203326583297,0.03260466421527229,406.2962332009882,58228.926794351915
synth_spectra/SB1/synthetic_SB1_05,4026,4026.712540836351,0.013089127552610942,0.21805533306590058,0.0017464815692180928,3.1492534822545655,0.033737705242118166,411.8511938412112,58416.99220426279
synth_spectra/SB1/synthetic_SB1_06,4026,4026.2716423375455,0.011470227847360164,0.2393997811121546,0.0017855226404500833,2.9348225108819737,0.029573709030997007,420.51760481088263,58583.0296027732
synth_spectra/SB1/synthetic_SB1_07,4026,4026.7490311036495,0.012790379464728937,0.22349175938784444,0.001814564964610085,3.02116690907531,0.03289928866424304,433.4802735364751,58637.981639923084
synth_spectra/SB1/synthetic_SB1_08,4026,4026.4506168756598,0.011918493160456548,0.23107931326774855,0.0017855124863366085,2.9560507962491043,0.03072529667455926,416.5347081942716,58666.13039641224
synth_spectra/SB1/synthetic_SB1_09,4026,4026.6089837163204,0.012644946953460726,0.2240018358420791,0.0017700627101369683,3.075365776737578,0.032578509408732186,417.8091954093495,58699.07521445375
synth_spectra/SB1/synthetic_SB1_10,4026,4025.9592621992188,0.011831450844854903,0.2320142789555023,0.001773997232023787,2.9663304966229185,0.030518993869224208,412.13751455353975,58901.229114957554
synth_spectra/SB1/synthetic_SB1_11,4026,4026.681488595101,0.013199182625654155,0.22094290446198722,0.0018091426671710898,3.102489792108862,0.03403976165308574,438.24447543705094,58920.969085524346
synth_spectra/SB1/synthetic_SB1_12,4026,4025.763941861879,0.011778141303452283,0.2318905874008964,0.0017561216549425611,2.9829067772273357,0.030381310046947746,405.8632818342692,58943.0848904566
synth_spectra/SB1/synthetic_SB1_01,4089,4088.96042298711,0.017868971458973034,0.1351692735904377,0.0027109744670669707,1.7806080756599332,0.044967583458911616,363.2477940646923,58064.91193631773
synth_spectra/SB1/synthetic_SB1_02,4089,4089.5177958199447,0.017881899230313504,0.1328607296786726,0.0026211747987514742,1.8119527530678234,0.04500359786148925,343.31075572893246,58070.03966321
synth_spectra/SB1/synthetic_SB1_03,4089,4088.538255703022,0.018594326653512096,0.1314533468483739,0.0026684514828642404,1.8299214070076415,0.04676834516137173,359.5495369878961,58177.06613245756
synth_spectra/SB1/synthetic_SB1_04,4089,4089.59457412087,0.017607525148172494,0.13237003708240525,0.0026162439094013315,1.781046492511761,0.044286662420490355,336.987649387551,58228.926794351915
synth_spectra/SB1/synthetic_SB1_05,4089,4089.5582209167687,0.017971311263480564,0.1359089229205956,0.002627736355195043,1.8572780344524173,0.04532103049245603,355.293854319592,58416.99220426279
synth_spectra/SB1/synthetic_SB1_06,4089,4089.003979522825,0.018512019558453035,0.13608442891432387,0.002815909170468408,1.7903364243033302,0.0466917808561386,393.0954221954115,58583.0296027732
synth_spectra/SB1/synthetic_SB1_07,4089,4089.555843518299,0.017147344425044467,0.1369788111745405,0.002593276890788405,1.8091123288181812,0.043221452074210534,337.8172966093441,58637.981639923084
synth_spectra/SB1/synthetic_SB1_08,4089,4089.2416974654307,0.017434932601143645,0.13790141093260538,0.002607695927685302,1.8404626803843867,0.04392432718478983,348.96404614235325,58666.13039641224
