sys019_epoch00	58032.14522035034	-163.60335582	194.73886653
sys019_epoch01	58050.24697953866	13.80807551	-16.49073285
sys019_epoch02	58066.94799103929	153.48847451	-182.71867126
sys019_epoch03	58090.18780813488	123.84696454	-147.95819852
sys019_epoch04	58159.19071080317	110.57702046	-132.0182576
sys019_epoch05	58249.96043214749	-35.55515098	42.0506754
sys019_epoch06	58408.99284435714	156.57751927	-186.83976258
sys019_epoch07	58554.24263338308	-79.34667882	94.47866299
sys019_epoch08	58631.93056821089	140.35130873	-167.62115462
sys019_epoch09	58675.1571752391	175.63910431	-209.20848505
sys019_epoch10	58751.932337586186	137.61713945	-164.18120672
sys019_epoch11	58908.99511789922	77.01376807	-91.67622553
