BBC_009_OB01	2457299.74519203
BBC_009_OB02	2457332.73276862
BBC_009_OB03	2457335.78203741
BBC_009_OB04	2457339.69781362
BBC_009_OB05	2457339.77971552
BBC_009_OB06	2457366.72404262
BBC_009_OB07	2457379.55076078
BBC_009_OB08	2457394.65161933
BBC_009_OB09	2457398.72299659
BBC_009_OB10	2457400.57710856
BBC_009_OB11	2457402.6018003
BBC_009_OB12	2457410.69212684
BBC_009_OB13	2457411.57888799
BBC_009_OB14	2457415.54706064
BBC_009_OB15	2457416.5588176
BBC_009_OB16	2457417.56283914
BBC_009_OB17	2457418.61149589
BBC_009_OB18	2457420.62166437
BBC_009_OB19	2457421.69522909
BBC_009_OB20	2457423.5983747
BBC_009_OB21	2457427.60703335
BBC_009_OB22	2457432.51692735
BBC_009_OB23	2457622.86560142
BBC_009_OB24	2457651.76048064
BBC_009_OB25	2457681.71006089
BBC_009_OB26	2457692.74277552
BBC_009_OB27	2457698.74764262
BBC_009_OB28	2457724.70696387
BBC_009_OB29	2457726.70982698
